"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Minimum_Unit__c","Product_Description__c","Unit_Weight_kg_ha__c","DAP_Weight_kgs_ha__c","UREE_Weight_kgs_ha__c","Category__c"
"a0Mb0000000PXNFEA4","005b0000000WPiMAAW","0","Maize PDS","XOF","2012-12-21 19:19:15","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PXopEAG","005b0000000WPiMAAW","0","Maize OPV","XOF","2012-12-26 21:10:11","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000PXouEAG","005b0000000WPiMAAW","0","Maize Hybrid","XOF","2012-12-26 21:10:44","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PXp0EAG","005b0000000WPiMAAW","0","Peanuts Seed","XOF","2012-12-26 21:12:32","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000PXp9EAG","005b0000000WPiMAAW","0","Peanuts No Seed","XOF","2012-12-26 21:12:07","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000PawaEAC","005b0000000WPiMAAW","0","Peanuts - Core - 0.5","XOF","2013-01-17 12:29:22","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PawfEAC","005b0000000WPiMAAW","0","Maize - Boutique - HYB - 0.125","XOF","2013-01-17 12:24:10","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000Pax1EAC","005b0000000WPiMAAW","0","Savings - Sorgho - 0.25","XOF","2013-01-17 12:32:08","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000PaxCEAS","005b0000000WPiMAAW","0","Peanuts - Core - 0.125","XOF","2013-01-17 12:28:33","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000PaxPEAS","005b0000000WPiMAAW","0","Maize - Core - 0.25","XOF","2013-01-17 12:16:07","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000PaxQEAS","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.0625","XOF","2013-01-17 12:19:07","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000PaxREAS","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.0625","XOF","2013-01-17 12:20:55","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000PaxSEAS","005b0000000WPiMAAW","0","Maize - Boutique - HYB - 0.5","XOF","2013-01-17 12:23:18","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb1cEAC","005b0000000WPiMAAW","0","Maize - Core - 0.5","XOF","2013-01-17 12:16:58","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb1hEAC","005b0000000WPiMAAW","0","Maize - Core - 1","XOF","2013-01-17 12:17:32","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","1.0000","","","","",""
"a0Mb0000000Pb1mEAC","005b0000000WPiMAAW","0","Sorgho - Core - 0.5","XOF","2013-01-17 12:17:59","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb1rEAC","005b0000000WPiMAAW","0","Sorgho - Core - 1","XOF","2013-01-17 12:18:35","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","1.0000","","","","",""
"a0Mb0000000Pb1wEAC","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.125","XOF","2013-01-17 12:19:36","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000Pb21EAC","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.25","XOF","2013-01-17 12:20:01","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb26EAC","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.5","XOF","2013-01-17 12:20:29","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb2BEAS","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.125","XOF","2013-01-17 12:22:15","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000Pb2CEAS","005b0000000WPiMAAW","0","Savings - Maize - HYB - 0.25","XOF","2013-01-17 12:31:43","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb2GEAS","005b0000000WPiMAAW","0","Maize - Boutique - OPV - 0.25","XOF","2013-01-17 12:22:44","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb2LEAS","005b0000000WPiMAAW","0","Maize - Boutique - HYB - 0.0625","XOF","2013-01-17 12:23:43","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000Pb2VEAS","005b0000000WPiMAAW","0","Maize - Boutique - HYB - 0.25","XOF","2013-01-17 12:24:44","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb2aEAC","005b0000000WPiMAAW","0","Maize - Boutique - HYB - 0.5","XOF","2013-01-17 12:25:05","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb2fEAC","005b0000000WPiMAAW","0","Sorgho - Boutique - OPV - 0.0625","XOF","2013-01-17 12:25:36","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000Pb2kEAC","005b0000000WPiMAAW","0","Sorgho - Boutique - OPV - 0.125","XOF","2013-01-17 12:26:45","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000Pb2pEAC","005b0000000WPiMAAW","0","Sorgho - Boutique - OPV - 0.25","XOF","2013-01-17 12:27:13","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb2qEAC","005b0000000WPiMAAW","0","Peanuts - PDS","XOF","2013-01-17 12:37:44","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","0","100.00","0.00",""
"a0Mb0000000Pb2uEAC","005b0000000WPiMAAW","0","Sorgho - Boutique - OPV - 0.5","XOF","2013-01-17 12:27:39","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000Pb2zEAC","005b0000000WPiMAAW","0","Peanuts - Core - 0.0625","XOF","2013-01-17 12:28:06","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000Pb34EAC","005b0000000WPiMAAW","0","Peanuts - Core - 0.25","XOF","2013-01-17 12:28:58","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb3FEAS","005b0000000WPiMAAW","0","Maize - PDS","XOF","2013-01-17 12:34:07","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","0","100.00","100.00",""
"a0Mb0000000Pb3JEAS","005b0000000WPiMAAW","0","Savings - Maize - OPV - 0.25","XOF","2013-01-17 12:31:09","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb3KEAS","005b0000000WPiMAAW","0","Peanuts","XOF","2013-01-17 12:36:49","005b0000000WPiyAAG","2013-07-16 08:51:37","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","60","100.00","0.00",""
"a0Mb0000000Pb3TEAS","005b0000000WPiMAAW","0","Maize - HYB","XOF","2013-01-17 12:34:28","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","20","100.00","100.00",""
"a0Mb0000000Pb3fEAC","005b0000000WPiMAAW","0","Sorgho - OPV","XOF","2013-01-17 12:34:56","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","20","100.00","50.00",""
"a0Mb0000000Pb3kEAC","005b0000000WPiMAAW","0","Sorgho - HYB","XOF","2013-01-17 12:35:15","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","20","100.00","50.00",""
"a0Mb0000000Pb3zEAC","005b0000000WPiMAAW","0","Sorgho - PDS","XOF","2013-01-17 12:36:06","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","0","100.00","50.00",""
"a0Mb0000000Pb49EAC","005b0000000WPiMAAW","0","Peanuts","XOF","2013-01-17 12:36:29","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","60","100.00","0.00",""
"a0Mb0000000Pb4EEAS","005b0000000WPiMAAW","0","Peanuts - 0.250","XOF","2013-01-17 12:37:16","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000Pb4JEAS","005b0000000WPiMAAW","0","Peanuts - PDS","XOF","2013-01-17 12:38:04","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","0","100.00","0.00",""
"a0Mb0000000Pb4OEAS","005b0000000WPiMAAW","0","Peanuts - PDS","XOF","2013-01-17 12:38:25","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","0","100.00","0.00",""
"a0Mb0000000PbEIEA0","005b0000000WPiMAAW","0","Loan Maïs - OPV - 0.25","XOF","2013-01-18 18:58:13","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000PbENEA0","005b0000000WPiMAAW","0","Loan Maïs - HYB - 0.50","XOF","2013-01-18 18:58:50","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PbESEA0","005b0000000WPiMAAW","0","Loan Sorgho - 0.25","XOF","2013-01-18 18:59:36","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000PbEXEA0","005b0000000WPiMAAW","0","Loan Maïs - OPV - 0.50","XOF","2013-01-18 19:00:41","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PbIkEAK","005b0000000WPiMAAW","0","Sorgho - Boutique - HYB - 0.0625","XOF","2013-01-18 23:12:42","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.0625","","","","",""
"a0Mb0000000PbIpEAK","005b0000000WPiMAAW","0","Sorgho - Boutique - HYB - 0.125","XOF","2013-01-18 23:13:53","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","","","",""
"a0Mb0000000PbIuEAK","005b0000000WPiMAAW","0","Sorgho - Boutique - HYB - 0.25","XOF","2013-01-18 23:14:31","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","","","","",""
"a0Mb0000000PbIzEAK","005b0000000WPiMAAW","0","Sorgho - Boutique - HYB - 0.5","XOF","2013-01-18 23:15:04","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PbJ4EAK","005b0000000WPiMAAW","0","Savings - Maïs - OPV - 0.50","XOF","2013-01-18 23:18:12","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.5000","","","","",""
"a0Mb0000000PcThEAK","005b0000000WPiMAAW","0","Refund","XOF","2013-01-25 14:34:19","005b0000000WPiyAAG","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","1.0000","","","","",""
"a0Mb0000000PcdiEAC","005b0000000WPiMAAW","0","Maize - OPV","XOF","2013-01-27 09:34:20","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.1250","","20","100.00","100.00",""
"a0Mb0000000Q6l5EAC","005b0000000WPiMAAW","0","Semoir Savings","XOF","2013-04-10 18:24:06","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","1.0000","Semoir product paid for with savings cards","","","",""
"a0Mb0000000Q6lAEAS","005b0000000WPiMAAW","0","Semoir Loan","XOF","2013-04-10 18:26:38","005b0000000Wbc1AAC","2015-02-28 21:22:23","005b0000000mPx4AAE","2015-02-28 21:22:23","1.00000","Loan product for acquiring Semoir","0","","",""
"a0Mb0000001AzRNEA0","005b0000000WPiMAAW","0","Maize - HYB - 0.25","XOF","2013-07-04 11:14:27","005b0000000Wbc1AAC","2013-07-16 08:51:38","005b0000000WPiyAAG","2013-08-25 18:53:11","0.2500","This product created after delivery for clients who received smaller than the minimum unit originally offered.","20","100.00","100.00",""
